Cell line	File name	md5	FTP url	Assay	Description	Instrument	Cell type	Biosample	Archive	Accession type	Accession	Archive url	Cell line growing conditions for this assay	Cell line passage number for this assay	Disease status	Sex	Assay description
HPSI0114i-rozh_4	14963_6#5.cram	2f17e14de029048e808c15d539f3070a	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR946/ERR946986/14963_6%235.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2555017	ENA	RUN_ID	ERR946986	http://www.ebi.ac.uk/ena/data/view/ERR946986	Feeder-free	27	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-rozh_4	14980_6#5.cram	45de770b2a2fbc4685b0b1073c7498fa	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR947/ERR947011/14980_6%235.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2555017	ENA	RUN_ID	ERR947011	http://www.ebi.ac.uk/ena/data/view/ERR947011	Feeder-free	27	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-vass_1	14980_4#6.cram	e3485c07cb250911a97385f437913935	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR947/ERR947002/14980_4%236.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2627141	ENA	RUN_ID	ERR947002	http://www.ebi.ac.uk/ena/data/view/ERR947002	Feeder-free	26	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-vass_1	14963_4#6.cram	6e6105164fc16e9a82fd81d8371870e0	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR946/ERR946977/14963_4%236.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2627141	ENA	RUN_ID	ERR946977	http://www.ebi.ac.uk/ena/data/view/ERR946977	Feeder-free	26	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-zapk_2	20484_1#3.cram	f6f1075083ac883243908f04574aaa3d	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1724696/20484_1%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2570426	ENA	RUN_ID	ERR1724696	http://www.ebi.ac.uk/ena/data/view/ERR1724696	Feeder-free	22	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0114i-zapk_2	20509_1#3.cram	4a835054943081a6e9e89966500462f6	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR174/ERR1743786/20509_1%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA2570426	ENA	RUN_ID	ERR1743786	http://www.ebi.ac.uk/ena/data/view/ERR1743786	Feeder-free	22	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-aion_2	20509_1#6.cram	1a7e6f3b1b727250dd5e47621e3dea43	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR174/ERR1743788/20509_1%236.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA3754202	ENA	RUN_ID	ERR1743788	http://www.ebi.ac.uk/ena/data/view/ERR1743788	Feeder-free	30	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-aion_2	20484_1#6.cram	927383c0a89b82e502c92a014b2fb3b2	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1724699/20484_1%236.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA3754202	ENA	RUN_ID	ERR1724699	http://www.ebi.ac.uk/ena/data/view/ERR1724699	Feeder-free	30	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-aoxv_1	22454_3#1.cram	76c5f23d28e11ae0acd13fcd01a5dcc2	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039335/22454_3%231.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA4451655	ENA	RUN_ID	ERR2039335	http://www.ebi.ac.uk/ena/data/view/ERR2039335	Feeder-free	8	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-aoxv_1	22454_4#1.cram	2a685a1319a888b18261e6384a5ef8af	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039345/22454_4%231.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA4451655	ENA	RUN_ID	ERR2039345	http://www.ebi.ac.uk/ena/data/view/ERR2039345	Feeder-free	8	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-bimq_4	23203_5#1.cram	6a53a3f3bee17640ad137cb72058b324	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR227/ERR2278244/23203_5%231.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA104011280	ENA	RUN_ID	ERR2278244	http://www.ebi.ac.uk/ena/data/view/ERR2278244	Feeder-free	9	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-bimq_4	23203_6#1.cram	ae86f69707fa282b28c272bb1b3f2104	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR227/ERR2278254/23203_6%231.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA104011280	ENA	RUN_ID	ERR2278254	http://www.ebi.ac.uk/ena/data/view/ERR2278254	Feeder-free	9	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-boqx_2	24310_3#3.cram	3e6bdc402b70c75fc8191c2a3748637a	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR227/ERR2278292/24310_3%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA104130216	ENA	RUN_ID	ERR2278292	http://www.ebi.ac.uk/ena/data/view/ERR2278292	Feeder-free	12	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-boqx_2	24310_2#3.cram	3d23b50b1387a2c1d49f484013e73644	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR227/ERR2278284/24310_2%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA104130216	ENA	RUN_ID	ERR2278284	http://www.ebi.ac.uk/ena/data/view/ERR2278284	Feeder-free	12	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-gifk_1	19535_3#2.cram	224883242cb462fee094a6c88b3b879e	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR155/ERR1555114/19535_3%232.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA3753601	ENA	RUN_ID	ERR1555114	http://www.ebi.ac.uk/ena/data/view/ERR1555114	Feeder-free	20	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=198"
HPSI0115i-gifk_1	21310_6#2.cram	2e34fd215312555fe944e79b8c05dc53	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR1837030/21310_6%232.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA3753601	ENA	RUN_ID	ERR1837030	http://www.ebi.ac.uk/ena/data/view/ERR1837030	Feeder-free	20	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-gifk_1	19706_3#2.cram	ed700b0839c152832df769d8f0e095c9	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR1594735/19706_3%232.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA3753601	ENA	RUN_ID	ERR1594735	http://www.ebi.ac.uk/ena/data/view/ERR1594735	Feeder-free	20	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=202"
HPSI0115i-gifk_1	21310_7#2.cram	4af196ec27ad0021d813b58ce3673b7a	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR1837040/21310_7%232.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA3753601	ENA	RUN_ID	ERR1837040	http://www.ebi.ac.uk/ena/data/view/ERR1837040	Feeder-free	20	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-gost_2	22454_4#3.cram	96ebaea289189156dd14a4a3820ee479	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039347/22454_4%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA4454941	ENA	RUN_ID	ERR2039347	http://www.ebi.ac.uk/ena/data/view/ERR2039347	Feeder-free	9	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-gost_2	22454_3#3.cram	6cf4896cd5a06ce1b4a3f0242995f5ae	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039337/22454_3%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA4454941	ENA	RUN_ID	ERR2039337	http://www.ebi.ac.uk/ena/data/view/ERR2039337	Feeder-free	9	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-hecn_6	20509_1#5.cram	cf98a5850d81611bdf68bc8460b455b7	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823506/20509_1%235.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA3853180	ENA	RUN_ID	ERR1823506	http://www.ebi.ac.uk/ena/data/view/ERR1823506	Feeder-free	8	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-hecn_6	20484_1#5.cram	f7533c78c453200e225057e5f708115c	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1724698/20484_1%235.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA3853180	ENA	RUN_ID	ERR1724698	http://www.ebi.ac.uk/ena/data/view/ERR1724698	Feeder-free	8	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-iiyk_2	20509_3#6.cram	38dde2aa192b79ea5400af6e4635bd4c	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR174/ERR1743808/20509_3%236.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA4303610	ENA	RUN_ID	ERR1743808	http://www.ebi.ac.uk/ena/data/view/ERR1743808	Feeder-free	8	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-iiyk_2	20484_3#6.cram	8c0d7d9e869be7d9b6375be200e971c1	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR172/ERR1724719/20484_3%236.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA4303610	ENA	RUN_ID	ERR1724719	http://www.ebi.ac.uk/ena/data/view/ERR1724719	Feeder-free	8	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-iuad_2	23203_5#3.cram	088c155d24da09847d5274950451bd3d	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR227/ERR2278246/23203_5%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA103886060	ENA	RUN_ID	ERR2278246	http://www.ebi.ac.uk/ena/data/view/ERR2278246	Feeder-free	13	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-iuad_2	23203_6#3.cram	b4a9871b692b304bb4261cc87f3ad729	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR227/ERR2278256/23203_6%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA103886060	ENA	RUN_ID	ERR2278256	http://www.ebi.ac.uk/ena/data/view/ERR2278256	Feeder-free	13	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-jotn_2	24310_5#8.cram	282fff3f5e9280531f740765266603cb	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR227/ERR2278317/24310_5%238.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA17511418	ENA	RUN_ID	ERR2278317	http://www.ebi.ac.uk/ena/data/view/ERR2278317	Feeder-free	14	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0115i-jotn_2	24310_4#8.cram	5cf22e94cc9535cad495d43eae4ec9fa	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR227/ERR2278307/24310_4%238.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2500	iPSC	SAMEA17511418	ENA	RUN_ID	ERR2278307	http://www.ebi.ac.uk/ena/data/view/ERR2278307	Feeder-free	14	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2500,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
